"variable","race","year","value","nutrientGroup"
"saturated fat(g)","Non-Hispanic Asian","2015-2016",24,"Lipids|Fat"
"total fat(g)","Non-Hispanic Asian","2015-2016",72.9,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Asian","2015-2016",92,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Black","2015-2016",248,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Black","2015-2016",13,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Black","2015-2016",25.1,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Black","2015-2016",17.7,"Lipids|Fat"
"protein(g)","Non-Hispanic Black","2015-2016",67.5,"Proteins"
"saturated fat(g)","Non-Hispanic Black","2015-2016",24.5,"Lipids|Fat"
"total fat(g)","Non-Hispanic Black","2015-2016",74,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Black","2015-2016",108,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic White","2015-2016",255,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic White","2015-2016",14.2,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic White","2015-2016",25.1,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic White","2015-2016",15.9,"Lipids|Fat"
"protein(g)","Non-Hispanic White","2015-2016",65.8,"Proteins"
"saturated fat(g)","Non-Hispanic White","2015-2016",27.7,"Lipids|Fat"
"total fat(g)","Non-Hispanic White","2015-2016",75.6,"Lipids|Fat"
"total sugars(g)","Non-Hispanic White","2015-2016",118,"Carbohydrates"
"carbohydrate(g)","All Hispanic","2017-2018",240,"Carbohydrates"
"dietary fiber(g)","All Hispanic","2017-2018",15.8,"Carbohydrates"
"monosaturated fat(g)","All Hispanic","2017-2018",24.9,"Lipids|Fat"
"polysaturated fat(g)","All Hispanic","2017-2018",17.2,"Lipids|Fat"
"protein(g)","All Hispanic","2017-2018",67.7,"Proteins"
"saturated fat(g)","All Hispanic","2017-2018",25.2,"Lipids|Fat"
"total fat(g)","All Hispanic","2017-2018",75.6,"Lipids|Fat"
"total sugars(g)","All Hispanic","2017-2018",102,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Asian","2017-2018",245,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Asian","2017-2018",16.5,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Asian","2017-2018",22.7,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Asian","2017-2018",14.8,"Lipids|Fat"
"protein(g)","Non-Hispanic Asian","2017-2018",64.3,"Proteins"
"saturated fat(g)","Non-Hispanic Asian","2017-2018",25.7,"Lipids|Fat"
"total fat(g)","Non-Hispanic Asian","2017-2018",71.7,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Asian","2017-2018",96,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Black","2017-2018",253,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Black","2017-2018",13,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Black","2017-2018",25.4,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Black","2017-2018",17.7,"Lipids|Fat"
"protein(g)","Non-Hispanic Black","2017-2018",61.2,"Proteins"
"saturated fat(g)","Non-Hispanic Black","2017-2018",25.9,"Lipids|Fat"
"total fat(g)","Non-Hispanic Black","2017-2018",76.2,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Black","2017-2018",115,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic White","2017-2018",250,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic White","2017-2018",14.2,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic White","2017-2018",25.1,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic White","2017-2018",17.1,"Lipids|Fat"
"protein(g)","Non-Hispanic White","2017-2018",63,"Proteins"
"saturated fat(g)","Non-Hispanic White","2017-2018",26.3,"Lipids|Fat"
"total fat(g)","Non-Hispanic White","2017-2018",75.7,"Lipids|Fat"
"total sugars(g)","Non-Hispanic White","2017-2018",116,"Carbohydrates"
"Cholesterol(g)","All Hispanic","2007-2008",0.225,"Lipids|Fat"
"Cholesterol(g)","Mexican American","2007-2008",0.242,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Black","2007-2008",0.208,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic White","2007-2008",0.215,"Lipids|Fat"
"Cholesterol(g)","All Hispanic","2009-2010",0.221,"Lipids|Fat"
"Cholesterol(g)","Mexican American","2009-2010",0.23,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Black","2009-2010",0.201,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic White","2009-2010",0.179,"Lipids|Fat"
"Cholesterol(g)","All Hispanic","2011-2012",0.233,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Asian","2011-2012",0.195,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Black","2011-2012",0.226,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic White","2011-2012",0.194,"Lipids|Fat"
"Cholesterol(g)","All Hispanic","2013-2014",0.216,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Asian","2013-2014",0.227,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Black","2013-2014",0.208,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic White","2013-2014",0.215,"Lipids|Fat"
"Cholesterol(g)","All Hispanic","2015-2016",0.237,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Asian","2015-2016",0.264,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Black","2015-2016",0.234,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic White","2015-2016",0.214,"Lipids|Fat"
"Cholesterol(g)","All Hispanic","2017-2018",0.244,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Asian","2017-2018",0.244,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic Black","2017-2018",0.221,"Lipids|Fat"
"Cholesterol(g)","Non-Hispanic White","2017-2018",0.207,"Lipids|Fat"
