"State","Median.Household.Income","Child.Adolescent.Obesity.Rate","Region","Race","Race.Distribution"
"Wisconsin",54850.73,12.53,"Midwest","Black",5.9
"Wisconsin",54850.73,12.53,"Midwest","Hispanic",6.1
"Wisconsin",54850.73,12.53,"Midwest","White",83.1
"Wyoming",54607.36,10.16,"West","Asian",1
"Wyoming",54607.36,10.16,"West","Black",1
"Wyoming",54607.36,10.16,"West","Hispanic",9.3
"Wyoming",54607.36,10.16,"West","White",85.2
"National",53985.48,13.62,"National","Asian",3.84
"National",53985.48,13.62,"National","Black",10.04
"National",53985.48,13.62,"National","White",70.78
"National",53985.48,13.62,"National","Hispanic",10.99
