age,エネルギー,たんぱく質,うち動物性,脂質,うち動物性,飽和脂肪酸,一価不飽和脂肪酸,n-6系脂肪酸,n-3系脂肪酸,コレステロール,炭水化物,食物繊維,うち水溶性,うち不溶性,ビタミンＡ,ビタミンＤ,ビタミンＥ,ビタミンＫ,ビタミンＢ1,ビタミンＢ2,ナイアシン,ビタミンＢ6,ビタミンＢ12,葉酸,パントテン酸,ビタミンＣ,ナトリウム,食塩相当量,食塩相当量,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,脂肪エネルギー比率,炭水化物エネルギー比率,動物性たんぱく質比率,year,gender
20～29歳,1907.96661,67.233126,36.88923,61.172749,31.122298,16.957805,21.64947,10.130669,2.04217,317.408386,259.096433,12.35409,2.953341,9.016511,502.785647,5.710296,6.280737,200.534493,0.88711,1.136916,13.738898,1.139345,4.98138,243.111513,5.13736,76.353546,3872.33065,9.83572,5.297364,1952.74398,430.684413,212.371354,912.586863,6.861269,8.101969,1.062714,28.673305,57.075379,52.815729,2012,All
30～39歳,1893.80425,66.83513,35.690157,57.805495,28.895387,15.634483,20.334122,9.835174,2.0371,303.946052,258.317891,12.929588,3.078099,9.376792,501.971625,6.05247,6.424532,218.149788,0.890496,1.117884,14.579064,1.157307,5.146794,254.596604,5.130944,75.54572,3853.26958,9.787305,5.296199,2012.2222,433.252379,221.602702,919.181395,6.936101,7.908361,1.076491,27.277959,58.433055,51.567633,2012,All
40～49歳,1917.12982,67.516808,35.770222,57.790131,29.096076,15.645195,20.371243,9.913272,2.071189,312.471704,259.869679,13.182412,3.064438,9.664089,480.165188,6.326594,6.470714,219.004415,0.877646,1.102903,14.893794,1.111947,5.243667,263.207801,5.216878,78.567339,3941.6973,10.011911,5.333946,2075.15523,432.806631,230.02339,931.352235,7.160447,8.088001,1.107716,26.903709,58.865554,51.007753,2012,All
50～59歳,1949.35567,70.838824,37.662703,57.375186,28.427375,15.229762,19.935017,9.985817,2.280661,316.343329,263.313453,14.769002,3.392268,10.838428,519.742076,7.858204,6.821142,236.338281,0.924091,1.18575,15.921825,1.221038,6.186772,293.292865,5.424318,95.293175,4263.04541,10.828135,5.65575,2308.80533,491.767959,254.08708,998.791039,7.797302,8.172739,1.168881,26.430339,58.869785,51.440977,2012,All
60～69歳,1929.32051,72.765965,38.375999,53.307672,26.510688,13.775192,18.077324,9.340459,2.480968,312.543849,266.866766,16.458606,3.706992,12.121067,575.646936,9.232561,7.184968,269.188478,0.915759,1.249658,16.69997,1.310518,7.516675,334.87384,5.73569,120.026828,4317.68494,10.96692,5.782563,2545.18328,535.484012,271.948585,1042.52813,8.473701,8.175996,1.231142,24.710788,60.106275,50.79429,2012,All
70歳以上,1784.34534,66.767539,34.317263,45.648172,22.936071,11.97601,14.998835,8.142648,2.212286,280.637516,262.342792,16.283672,3.635073,12.016348,561.721548,8.869292,6.596468,261.106762,0.858843,1.211612,14.462218,1.257055,6.909206,331.490827,5.433606,127.314576,4092.33255,10.394525,5.931599,2476.70085,533.663382,258.02545,978.901392,8.067663,7.688577,1.194159,22.707812,62.270592,49.462194,2012,All
(再掲)20歳以上,1888.18269,68.820075,36.342538,54.146262,27.110036,14.414748,18.629503,9.382343,2.215945,304.553048,262.168603,14.752573,3.379724,10.82888,531.299054,7.690549,6.681476,240.661783,0.89084,1.177906,15.177639,1.214582,6.231993,296.348283,5.39068,100.995281,4086.36137,10.379358,5.612419,2286.57223,487.618069,246.456841,973.021972,7.693621,7.997523,1.155299,25.566472,59.729146,50.896877,2012,All
(再掲)75歳以上,1724.95986,63.99798,32.692391,43.067365,21.578792,11.320042,14.071655,7.660015,2.109648,269.596935,258.037999,15.519003,3.460212,11.461625,543.92962,8.48587,6.229309,243.846248,0.826064,1.178789,13.723426,1.215263,6.740654,318.3869,5.219214,123.181875,3987.81036,10.129038,5.988795,2367.9142,512.691678,246.223318,938.378238,7.750336,7.427938,1.156819,22.221274,62.892579,49.130484,2012,All
1～6歳,1281.4281954314722,44.91361370558377,25.798969543147205,41.47579847715737,21.783101269035516,13.231436040609127,13.95567944162437,6.413011167512688,1.2934299492385781,225.68108883248738,178.3435291878173,8.322216751269039,2.0256142131979678,5.963975380710665,396.1630837563453,4.39745,4.35683807106599,118.06400253807097,0.6063398477157361,0.839441116751269,7.352789086294414,0.6895378172588839,3.3272555837563473,149.16998223350248,3.9431878172588832,55.31203299492385,2281.099340101524,5.794010152284266,4.570329854267499,1458.820956852791,430.06998730964483,144.93413451776655,689.536512690355,4.436599746192896,5.352987817258881,0.6697992385786807,28.442893401015233,57.52192608379869,55.2716236149915,2011,All
7～14歳,1933.542744444443,69.34458833333332,40.56124069444443,64.07661583333342,35.3979445833334,20.69067375,21.334121111111102,9.505903194444452,1.8765387499999997,323.73221805555556,262.6316918055556,12.814135416666659,3.1687174999999996,9.226907499999992,552.7830722222221,5.689721388888884,6.245392361111115,176.9660361111112,0.9912715277777769,1.2839184722222232,11.575519583333339,1.0447030555555539,5.158625555555549,226.2229291666664,5.81177388888889,79.51779722222227,3629.2389125,9.218458333333333,4.846195255764738,2120.511515277776,658.8675083333329,215.03122083333344,1051.0199277777779,6.780441388888891,8.45453791666668,1.0333620833333346,29.646944444444436,55.88763509386076,57.53167943363333,2011,All
15～19歳,2134.374544736842,74.51606078947368,42.4629342105263,68.39333210526317,36.50580263157896,19.62842131578949,23.88828447368421,11.256427894736843,2.078872631578948,386.2461131578944,295.2669744736841,12.96607368421052,3.0376821052631593,9.464177631578952,517.9908263157885,5.638615263157898,7.551481315789473,202.78190789473678,1.0696186842105264,1.3674434210526318,13.423139210526307,1.255650526315789,4.608691578947367,246.42245526315799,5.774771052631577,82.48835526315789,3983.4298894736835,10.117894736842095,4.847614541771104,2092.030360526317,531.080618421053,222.50653684210516,1035.2545368421065,7.402625789473689,9.268156578947366,1.1658184210526312,28.887368421052635,56.99502224379785,55.810826582408794,2011,All
20～29歳,1833.4413662691654,66.04296422487229,37.17414429301536,59.174335434412264,30.129344293015343,16.104716013628625,20.981825212947204,10.068384327086884,2.098881942078365,320.76863713799014,247.13974037478715,11.68891942078364,2.8285606473594562,8.50664957410562,439.75179045996623,6.0188316865417395,6.418828790459971,191.9454889267462,1.07405621805792,1.198430664395231,13.393601873935259,1.2393543441226575,4.957911584327088,235.44620783645655,4.86155843270869,77.96727257240201,3784.656030664398,9.613066439523006,5.39847227808196,1891.6719557069866,423.08986030664374,202.16504088586012,885.7575962521294,6.748805962521294,7.882124701873939,1.0189367972742756,28.739863713798982,56.722913037786235,53.990065197306855,2011,All
30～39歳,1873.2271952191234,65.53510448207167,35.5804298804781,58.2459783864542,28.785643426294822,15.715561454183264,20.54385876494024,9.879238645418328,2.160035657370517,307.341593625498,252.08307191235045,12.16507011952192,2.901207768924303,8.832491733067727,502.84884362549707,5.836947310756967,7.04062519920319,191.4365916334658,1.2655860557768903,1.44460109561753,14.39823854581673,1.4887628486055748,5.506099800796805,247.65003286852607,5.005742031872499,90.90874501992027,3823.28027091633,9.711125498007965,5.332366316320346,1967.4873097609577,427.00303087649405,214.6257081673304,903.1599661354587,7.0431831673306835,7.808140936254974,1.0381240039840633,27.71175298804779,58.13501286228375,52.224843134262215,2011,All
40～49歳,1863.1518236994232,66.11641175337182,35.49484739884395,56.710461946050074,28.473018978805406,15.379958381502876,19.76448487475913,9.667308670520228,2.098115510597303,303.7177080924856,251.60384084778406,12.664781502890174,2.9222506743737955,9.25512552986513,499.3310751445087,6.016409441233138,7.577605876685935,205.98580732177246,1.2612562620423913,1.297277552986515,14.695852793834307,1.5375945086705214,5.321754335260117,259.4027080924853,4.998430828516375,92.71740558766867,4020.083003853565,10.211001926782261,5.63515682988122,2038.8035337186916,451.6432235067438,224.67476396917127,920.0409229287087,7.374983236994216,7.835873892100194,1.0647679190751431,27.14518304431601,58.46591520437505,52.06101630900688,2011,All
50～59歳,1915.8862202602224,70.26760427509296,37.94621710037169,55.99345399628252,27.99636449814127,14.8548689591078,19.312041171003735,9.660102509293692,2.409637081784389,321.80460966542734,258.1788631970261,14.452762732342006,3.253491449814126,10.620279646840135,527.3401115241634,7.444303345724916,8.47116617100373,237.98199907063187,1.4213292750929358,1.5337196096654273,15.745942100371758,1.722704739776952,6.869147769516734,299.80453438661743,5.323113197026016,121.27118401486989,4345.858363382891,11.03864312267659,5.874764904653486,2309.533233271378,508.5721663568777,250.7800269516726,987.8792788104089,7.95413540892194,8.030118866170998,1.1563365241635695,26.18392193308552,59.03799645086831,51.92160138322356,2011,All
60～69歳,1891.787602668643,71.95895292809485,38.236390437361,51.091300370644944,25.257456412157122,13.347909340252043,17.17317205337288,9.007043587842862,2.525680652335067,322.8223513713857,265.22113261675327,15.962759154929557,3.5576494440326165,11.768572868791702,582.5624640474427,8.977025871015565,9.465987768717579,271.6923817642698,1.8639819866567837,1.7657530763528542,16.348204595997036,2.2538050407709416,7.430041215715336,342.36421126760575,5.5772174944403226,147.14045811712384,4410.989977020015,11.204040029651592,6.047772059548829,2518.121886582656,550.8242646404751,267.52167234988826,1028.4784381022957,8.545847887323959,7.97889977761304,1.2093042994810963,24.170867309117845,60.43913211805515,51.36247060932327,2011,All
70歳以上,1744.8026527369043,65.32837722189534,33.95036945261929,44.70468887580926,22.290565744555632,11.616312948793395,14.636300176574471,7.913721542083573,2.3733425544437945,283.46115244261324,257.6491033549142,15.419201706886396,3.3843266627427937,11.392287992937007,588.0915885815189,8.616005356091794,8.608099646851102,254.0160924072984,2.1487042377869408,1.6089026486168316,14.515172042377877,2.3236029429075944,7.095783696291942,329.1060017657442,5.212786756915829,139.57761153619782,4046.370554443787,10.27766921718658,6.018373760018788,2398.8524514420224,530.9525026486162,248.806572101236,948.3149635079457,8.169766450853446,7.407007769276038,1.1616551500882861,22.679576221306643,62.297218220924705,49.860880582696005,2011,All
(再掲)20歳以上,1846.4144135939619,67.65389943728715,36.20321692581072,52.89562324892634,26.38971907300461,14.056356167629245,18.10622542573668,9.159447445579758,2.311681489708279,307.3405510143637,256.5758640456102,14.142355664149258,3.206940737450023,10.384535510143692,538.0960356878404,7.462913327410046,8.17591421590401,232.91020331704416,1.6148102917221947,1.5202489560195431,14.990346512661045,1.8747307418924977,6.431580690063676,296.11989708277815,5.208904472086471,118.37738338516203,4106.969537983125,10.431726640011853,5.786583794202102,2244.883942544048,494.33501303124507,240.0142019843032,954.135559455061,7.7973595883311155,7.787393410336133,1.1246621057307846,25.49720124389165,59.71446320373108,51.537760662919304,2011,All
(再掲)75歳以上,1686.7671376146786,62.7411523853211,32.16406495412845,42.248533394495375,20.956478807339458,10.985197247706417,13.745894495412863,7.508330825688075,2.246245871559635,271.5747155963305,252.89222229357802,14.87071018348623,3.264381559633029,10.969551743119284,571.9578752293585,8.248210917431198,8.006295779816517,239.69146330275234,2.139986972477065,1.5675257798165112,13.602117247706422,2.2302088073394475,6.678472752293583,319.93683577981636,5.000818623853205,131.2054853211009,3977.2882623853216,10.102238532110082,6.119989210973061,2301.9461550458695,513.3315036697252,239.117810091743,910.0131311926606,7.920070917431195,7.175795688073402,1.1278055045871562,22.18449541284405,62.901104271723604,49.28649256587741,2011,All
1～6歳,1315.988923444976,46.142052153110036,26.701287559808605,43.10385980861245,22.832736842105273,13.65096411483254,14.510355980861247,6.696700956937796,1.3770267942583736,229.01701913875598,182.08078660287083,8.362834928229667,2.0507253588516745,6.009974641148325,383.4151052631579,4.724036363636368,4.328583253588519,121.5599952153109,0.6497229665071772,0.8577507177033488,7.595779425837323,0.7118985645933013,3.4865665071770335,149.54231578947372,4.073855980861247,53.69534449760765,2326.5045071770332,5.909282296650714,4.495944850290552,1492.3274449760756,436.7820861244019,148.50303349282285,705.3251435406701,4.4967009569378,5.516223923444974,0.6803138755980862,28.73827751196172,57.276497404675226,55.771407499286376,2011,Male
7～14歳,2017.8959119318185,71.80425454545446,42.01454943181817,65.72757215909097,36.23125511363638,21.108403693181824,21.852068465909102,9.886842329545452,1.8563156250000004,332.91628693181826,276.9323190340907,13.009638920454542,3.2009803977272746,9.438553125000002,557.8992471590906,5.468604545454541,6.337071022727273,179.6989772727273,1.023420738636363,1.3222232954545448,11.803023011363639,1.0502943181818178,5.134719602272726,228.38685795454555,6.040564488636364,82.86295738636365,3737.0787698863664,9.492329545454545,4.77392929005103,2165.484338068179,677.1369346590911,219.72583806818173,1080.5669801136362,6.838454829545454,8.859136363636365,1.0653909090909084,29.203693181818164,56.4219170158433,57.72838191289837,2011,Male
15～19歳,2439.224181347149,82.9276502590674,47.014688082901564,74.75564352331605,40.62789948186528,21.23244611398965,26.291433160621768,12.37688808290155,2.208040932642488,422.1634715025906,346.08463989637295,13.538445595854917,3.154773056994817,9.953131606217612,567.6975129533682,6.442548704663212,7.172772020725388,201.24656476683944,1.1797331606217627,1.4970813471502589,14.83092383419689,1.4489497409326426,5.119345595854921,256.95169430051794,6.385253367875643,85.71143523316071,4278.884559585489,10.868393782383416,4.5178400953577365,2244.4265958549227,564.8650880829016,240.94333678756473,1148.2555647668394,7.77387512953368,10.548397409326418,1.3022227979274619,27.488601036269433,58.82428265804006,55.50276660166809,2011,Male
20～29歳,2135.7836525096523,76.69078880308872,44.46678571428573,67.96929768339773,35.299198841698846,18.187089189189187,24.62426872586872,11.603561003860998,2.42186640926641,367.2632779922779,286.76005482625453,12.365574903474908,2.9848521235521233,9.057279536679541,488.0408571428568,6.833662548262548,7.108858687258686,199.8490694980696,1.0433911196911194,1.277983783783784,15.788784942084934,1.3137787644787644,5.711149806949809,246.3261003861004,5.528133590733593,79.42037451737454,4211.727640926644,10.69772200772201,5.124624045968314,2080.800922779921,455.27971814671815,224.83401930501924,1012.0633783783779,7.420687258687262,9.341612741312744,1.158178378378378,28.36332046332045,57.15884413837605,55.885876202915064,2011,Male
30～39歳,2117.163292275577,72.65073820459298,40.04837098121088,63.822456367432146,32.415207933194175,16.899367849686865,22.911121920668055,11.05780751565762,2.441868893528181,336.9124906054277,285.00851837160764,12.515249060542793,2.9255707724425872,9.093473903966595,559.7316367432145,6.5258181628392435,7.031702087682674,195.0084864300625,1.3393252609603339,1.496040292275575,16.55819770354903,1.6055995824634655,6.270437995824635,260.0562797494783,5.426625052192063,94.9191774530272,4252.279486430063,10.8008350730689,5.255159330231873,2095.5674780793324,421.80323590814226,230.65910855949886,981.4912546972853,7.375073903966599,8.774482672233821,1.1438924843423797,26.72901878914403,59.43664035256549,52.84151650784939,2011,Male
40～49歳,2089.847485416665,72.5893820833334,39.40551875000002,60.597821249999974,30.892948125000004,16.06272312499998,21.388551458333342,10.425849375,2.335246250000003,328.8126750000001,282.99240458333315,12.907210416666663,2.937917291666664,9.451233124999995,545.8301166666664,6.696220208333329,6.822558125000004,209.2961083333334,1.2416097916666669,1.2369270833333335,16.45042791666665,1.4365493749999987,6.175086666666669,266.43025208333347,5.3935604166666655,87.79543958333343,4360.256679166668,11.075104166666668,5.4164775581474025,2113.178145833332,453.03632708333345,239.11859791666652,993.9485145833332,7.499266666666666,8.711679583333334,1.165577083333333,25.89854166666667,59.996850515959075,52.87807304665925,2011,Male
50～59歳,2118.3046737044147,76.23806333973134,41.697583685220714,58.7539522072937,30.077942610364683,15.105365642994245,20.449864875239953,10.398528406909795,2.6646998080614193,347.37247600767773,281.66244798464476,14.343326295585417,3.1699086372360856,10.546277543186182,523.1252092130512,8.366357581573892,8.066188675623797,233.74113435700573,1.3510222648752406,1.4628566218809969,17.308907101727446,1.71871708253359,7.710215355086372,301.697848368522,5.630206909788869,99.46725719769668,4701.847902111333,11.942840690978882,5.768519860296345,2344.2042571976986,497.6363953934741,264.6641996161229,1051.4766737044156,8.246280422264888,8.782647216890592,1.2587061420345493,24.703262955854104,60.822348322546674,52.70933256687787,2011,Male
