Age,Year,Gender,에너지(Kcal),단백질(g),동물성단백질(g),지방(g),탄수화물(g),칼슘(mg),인(mg),철(mg),나트륨(mg),칼륨(mg),티아민(mg),리보플라빈(mg),비타민C(mg),동물성단백질비(%),지방급원에너지비(%)
50-64,2009,Male,2194.4,77.35,31.17,38.15,350.48,581.74,1323.3,17.01,6027.17,3423.82,1.401,1.274,111.47,35.89,15.79
≥ 65,2009,Male,1791.11,59.3,19.66,25,315.17,470,1074.55,14.51,4595.89,2768.64,1.094,0.943,89.68,27.96,12.45
전체,2010,Male,2382.45,87.14,43.69,53.29,355.95,584.09,1380.61,16.38,5708.55,3346.07,1.601,1.478,110.31,44.82,20.23
1-2,2010,Male,1162.31,39.07,22.34,27.82,189.9,517.3,769.13,6.84,1438.74,1657.32,0.802,1.055,86.74,54.65,21.53
3-5,2010,Male,1424.36,47.73,24.77,34.55,232.08,474.87,865.84,7.92,2158.92,1832.15,0.948,1.083,83.17,50.05,21.27
6-11,2010,Male,1907.66,67.72,35.47,46.57,303.33,540.65,1119.12,11.57,3474.17,2410.64,1.258,1.303,86.19,49.18,21.57
12-18,2010,Male,2537.86,90.81,49.21,70.21,378,575.98,1394.77,14.3,5107.34,2972.15,1.845,1.607,98.13,49.61,24.06
19-29,2010,Male,2556.94,97.07,55.26,69.46,346.39,544.97,1401.91,16.23,5770.99,3258.63,1.803,1.654,102.76,51.66,24.5
30-49,2010,Male,2605.4,98.25,50.47,57.52,377.1,633.56,1536.94,18.78,6742.01,3832.39,1.759,1.611,123.58,46.03,20.59
50-64,2010,Male,2374.14,84.18,35.85,41.63,374.09,610.93,1405.54,17.71,6183.81,3677.27,1.499,1.394,123.34,37.97,16.45
≥ 65,2010,Male,1975.53,66.25,23.37,28.43,342.88,498.19,1166.75,15.63,5128.02,2959.5,1.193,1.018,92.54,29.13,12.79
전체,2011,Male,2397.96,87.1,43.75,52.52,364.56,577.77,1377.86,16.6,5653.74,3318.68,1.572,1.467,110.22,44.39,19.85
1-2,2011,Male,1141.79,39.44,21.44,28.35,183.8,496.67,751.56,7.24,1469.86,1539.6,0.784,0.99,69.4,53.5,22.77
3-5,2011,Male,1425.15,48.47,25.72,33.94,232.84,504.58,896.19,7.97,2017.19,1906.95,0.92,1.136,93.37,51.24,20.83
6-11,2011,Male,1996.01,71.06,37.71,47.66,321.11,562.11,1175.49,13.28,3468.87,2443.71,1.346,1.363,80.86,50.2,21.11
12-18,2011,Male,2511.23,93.51,51.4,66.16,384.78,586.3,1411.95,15.78,4903.8,3032.12,1.7,1.594,102.93,49.55,23.02
19-29,2011,Male,2511.3,94.62,51.89,61.42,371.17,570.2,1410.92,15.75,5808.64,3393.55,1.659,1.531,113.82,48.81,22.51
30-49,2011,Male,2667.12,98.65,51.52,59.75,388.5,616.89,1529.8,18.99,6796.78,3804.27,1.739,1.615,120.89,46.48,20.71
50-64,2011,Male,2406.58,84.78,36.49,43.45,372.55,594.45,1398.75,17.79,6081.02,3512.11,1.564,1.379,117.67,37.6,16.85
≥ 65,2011,Male,1904.13,62,21.6,27.68,333.4,452.93,1098.58,14.54,4672.04,2753.48,1.193,1.115,93.15,29.06,12.88
전체,2012,Male,2316.48,84.55,43.01,53.64,347.18,540.53,1321.67,16.05,5280.24,3205.51,1.588,1.452,108.79,45.05,20.53
1-2,2012,Male,1072.12,37.15,21.48,26.62,171.81,472.33,722.84,6.48,1323.4,1483.49,0.666,0.998,73.23,54.6,21.78
3-5,2012,Male,1372.65,47.13,25.82,34.82,219.26,507.18,856.09,8.83,2096.5,1904.35,0.891,1.142,80.1,53.27,22.98
6-11,2012,Male,1984.63,69.9,37.78,51.78,310.86,531.1,1135.37,12.35,3350.93,2463.19,1.334,1.377,84.41,50.41,22.2
12-18,2012,Male,2434.24,90.31,50.87,63.89,374.63,532.15,1343.97,14.83,4800.25,3003.01,1.706,1.554,92.68,51.15,22.39
19-29,2012,Male,2603.38,101.14,58.12,75,351.39,541.05,1427.48,15.84,5558.36,3276.77,1.958,1.693,94.33,50.86,25.69
30-49,2012,Male,2507.32,92.11,47.57,58.49,363.6,568.36,1419.34,17.31,6212.22,3559.53,1.715,1.558,124.6,46.32,21.25
50-64,2012,Male,2252.93,80.42,35.76,41.09,353.12,548.38,1334.89,18.48,5463.29,3397.84,1.462,1.341,123.26,39.17,16.9
≥ 65,2012,Male,1936.93,63.85,22.07,29.59,337.86,466.58,1137.91,14.8,4656.03,2879.39,1.244,1.043,95.32,29.06,13.29
전체,2013,Male,2389.41,85.61,45.02,55.26,346.7,561.02,1261.89,20.29,4706.1,3249.55,2.359,1.592,90.78,46.52,21.06
1-2,2013,Male,1192.69,43.35,27.05,31,186.31,561.17,748.06,8.82,1252.85,1499.49,2.078,1.407,53.13,57.63,23.07
3-5,2013,Male,1503.94,51.5,29.93,42.23,228.73,527.68,929.29,9.74,2041.85,1941.59,1.083,0.893,65.48,53.74,23.88
6-11,2013,Male,2010.92,71.01,39.96,54.63,304.9,559.48,1072.98,13.93,2993.09,2424.66,1.288,1.099,64.66,52.42,23.83
12-18,2013,Male,2502.24,92.09,51.69,67.32,374.39,525.85,1264.89,19.68,4146.86,2958.86,1.792,1.418,81.19,51.08,23.71
19-29,2013,Male,2631.91,98.74,57.46,72.79,345.68,546.48,1324.25,20.84,5066.27,3183.55,2.313,1.637,76.17,52.05,25.33
30-49,2013,Male,2624.97,94.6,51.53,61.07,366.22,605.39,1395.2,22.17,5605.57,3643.3,2.46,1.801,100.84,48.88,21.97
50-64,2013,Male,2322.81,80.31,36.17,43.25,353.58,563.3,1255.42,22.42,4818.29,3534.49,2.605,1.781,105.59,38.93,17.21
≥ 65,2013,Male,1974.98,66.97,26.79,30.76,333.5,475.5,1041.18,18.57,3915.67,2947.99,2.497,1.503,89.26,33.49,13.86
전체,2014,Male,2382.65,83.71,43.29,55.8,343.46,541.95,1237.22,19.56,4557.02,3242.74,2.302,1.572,95.81,46.2,21.56
1-2,2014,Male,1118.38,37.16,20.87,27.39,179.4,401.5,667.08,7.65,1242.84,1635.91,1.081,0.881,70.39,54.06,22.63
3-5,2014,Male,1446.61,47.43,25.18,36.59,230.27,425.43,787.38,9.16,1879.43,1987.96,1.282,1.044,90.73,50.95,22.68
6-11,2014,Male,2054.04,72.57,40.73,57.26,307.74,551.63,1106.53,14.32,3033.19,2496.09,2.027,1.451,78.72,53.56,24.28
12-18,2014,Male,2634.85,97.42,56.82,73.36,375.07,567.19,1328.39,20.83,4456.18,3082.85,2.452,1.655,85.26,51.94,25.02
19-29,2014,Male,2531.32,91.44,51.63,68.8,334.61,517.01,1266.6,17.52,4948.13,3004.02,2.425,1.689,65.78,52.04,25.87
30-49,2014,Male,2575.18,90.7,48.07,60.6,357.35,576.29,1338.79,19.81,5165.35,3608.72,2.471,1.748,103.47,47.89,22.26
50-64,2014,Male,2417.62,84.03,39.61,49.24,361.61,559.4,1275.85,24.9,4912.28,3546.57,2.382,1.556,115.65,41.15,18.7
≥ 65,2014,Male,1941.41,62.69,22.38,29.24,330.49,467.13,1019.58,18.11,3617.08,3024.47,1.951,1.14,101.3,30.69,13.73
전체,2015,Male,2424.38,86.19,45.27,57.3,348.46,555.47,1250.89,19.11,4619.75,3268.29,2.306,1.593,93.61,46.18,21.56
1-2,2015,Male,1102.51,35.91,20.33,26.88,177.82,405.77,646.77,7.27,1214.27,1486.18,0.948,0.877,64.43,54.67,22.42
3-5,2015,Male,1454.63,47.57,25.42,36.49,231.36,439.23,806.7,9.65,1848.61,1931.85,1.295,1.071,74.81,51.71,22.6
6-11,2015,Male,2066.36,73.6,42.14,58.1,307.36,518.17,1083.93,13.62,3074.93,2538.68,1.848,1.494,68.34,53.6,24.57
12-18,2015,Male,2516.14,91.97,53.03,72.9,360.7,555.96,1253.12,17.92,4186.5,2971.42,2.307,1.674,69.28,52.92,25.82
19-29,2015,Male,2731.53,100.36,59.04,74.67,364.68,572.24,1342.11,20.64,4894.07,3320.92,2.548,1.769,85.49,51.81,25.22
30-49,2015,Male,2654.07,94.18,50.74,63.61,364.7,589.59,1352.29,20.21,5368.67,3585.86,2.523,1.769,97.53,48.49,22.78
50-64,2015,Male,2396.01,85.24,40.2,47.52,357.76,582.19,1300.94,21.38,4969.06,3551.49,2.354,1.547,111.85,39.64,18.09
≥ 65,2015,Male,1935.99,64.24,24.08,30.62,328.37,451.19,1018.29,17.31,3719.61,2934.9,1.933,1.149,99.29,32.26,14.23
전체,2016,Male,2352.36,85.1,47.11,59.09,326.6,529.37,1208.68,18.49,4355.9,3150.79,2.248,1.573,93.49,49.32,22.98
1-2,2016,Male,1144.12,38.35,23.3,31.35,175.11,424.05,679.19,7.6,1256.87,1616.22,1.001,0.894,54.31,58.12,24.89
3-5,2016,Male,1423.71,47.81,26.52,37.84,220.35,430.4,797.8,9.41,1925.47,1931.39,1.272,1.053,74.7,53.46,23.23
6-11,2016,Male,1999.31,69.42,38.95,55.45,299.9,501.42,1053.13,13.78,2870.23,2466.33,1.782,1.412,73.97,53.08,24.24
12-18,2016,Male,2426.3,90.41,52.74,72.42,343.41,532.35,1221.07,16.76,3914.48,2829.13,2.303,1.599,75.49,53.2,26.26
19-29,2016,Male,2621.69,103.18,66.1,82.46,328.45,511.98,1304.27,19.56,4721.65,3029.99,2.403,1.82,57.83,57.73,28.56
30-49,2016,Male,2560.71,92.04,52.33,64.47,340.06,553.65,1308.84,19.93,5026.1,3398.91,2.445,1.709,96.07,51.54,23.96
50-64,2016,Male,2351.47,84.25,42.69,50,332.7,575.35,1238.1,19.97,4497.96,3520.32,2.35,1.57,123.42,45.17,20.25
≥ 65,2016,Male,1915.25,62.03,23.17,30.71,323.8,444.38,979.64,17.44,3760.29,2983.63,1.886,1.136,109.56,32.3,14.42
전체,2017,Male,2228.54,84.58,46.56,55.93,326.8,555.04,1223.77,14.53,4063.4,3014.4,1.602,1.754,63.53,49.48,22.03
1-2,2017,Male,1130.03,39.38,22.97,29.14,187.75,470.54,701,7,1116.36,1597.93,0.744,1.019,52.84,54.96,21.73
3-5,2017,Male,1498.24,54.18,32.27,43.3,232.07,497.15,883.4,8.88,1811.71,1876.83,1.088,1.401,69.61,56.08,24.13
6-11,2017,Male,1922.98,70.6,39.95,56.08,297.5,533.86,1058.36,12.32,2727.67,2321.35,1.348,1.598,62.01,54.91,24.75
12-18,2017,Male,2391.22,89.41,50.88,70.03,361.51,605.48,1289.48,13.93,3953.16,2788.4,1.685,1.899,59.78,53.39,25.45
19-29,2017,Male,2366.62,94.35,59.91,71.38,313.05,519.86,1247.23,14.26,4214.41,2813.16,1.801,1.924,54.07,56.13,25.5
