income,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
"$25,000 - $74,999",20 and over,21.77,40.33,18.65,0.73,2007_08,0.55,0.55,0.07,1.52,0.48,0.39,0.09,0.40,0.32,0.07,0.12,1.58,0.84,0.68,0.04,6.40,0.68,5.72,1.52,0.48,0.39,0.09,0.40,0.32,0.07,0.12,0.51,0.91,0.15,0.48,0.27
"$25,000 - $74,999",2 and over,20.78,40.06,18.88,0.56,2007_08,0.52,0.49,0.06,1.36,0.45,0.37,0.08,0.36,0.30,0.07,0.11,1.70,0.95,0.69,0.04,6.46,0.65,5.82,1.36,0.45,0.37,0.08,0.36,0.30,0.07,0.11,0.44,0.92,0.14,0.47,0.30
"$75,000 and higher",2 -5,12.30,30.00,11.32,0.00,2007_08,0.32,0.27,0.03*,0.57,0.19,0.15,0.04,0.19,0.11,0.09*,0.04,2.44,1.82,0.55,0.06,4.42,0.52,3.90,0.57,0.19,0.15,0.04,0.19,0.11,0.09*,0.04,0.15,1.66,0.30*,0.78,0.58
"$75,000 and higher",2 -5,12.30,30.00,11.32,0.00,2007_08,0.32,0.27,0.03*,0.57,0.19,0.15,0.04,0.19,0.11,0.09*,0.04,2.44,1.82,0.55,0.06,4.42,0.52,3.90,0.57,0.19,0.15,0.04,0.19,0.11,0.09*,0.04,0.15,1.49,0.20,0.67,0.62
"$75,000 and higher",6 - 11,17.31,34.95,21.40,0.00,2007_08,0.30,0.48,0.02*,0.82,0.33,0.28,0.04,0.27,0.20,0.07,0.05*,1.88,1.27,0.58,0.03*,6.36,0.66,5.71,0.82,0.33,0.28,0.04,0.27,0.20,0.07,0.05*,0.17,1.27,0.26,0.63,0.38
"$75,000 and higher",6 - 11,17.31,34.95,21.40,0.00,2007_08,0.30,0.48,0.02*,0.82,0.33,0.28,0.04,0.27,0.20,0.07,0.05*,1.88,1.27,0.58,0.03*,6.36,0.66,5.71,0.82,0.33,0.28,0.04,0.27,0.20,0.07,0.05*,0.17,1.11,0.18,0.52,0.40
"$75,000 and higher",12 - 19,18.90,43.10,22.23,0.02*,2007_08,0.43,0.45*,0.10*,1.14,0.38,0.33,0.05,0.29,0.22,0.07,0.08*,2.30,1.35,0.89,0.02*,6.99,0.47,6.52,1.14,0.38,0.33,0.05,0.29,0.22,0.07,0.08*,0.38,0.99,0.17*,0.51,0.31
"$75,000 and higher",12 - 19,18.90,43.10,22.23,0.02*,2007_08,0.43,0.45*,0.10*,1.14,0.38,0.33,0.05,0.29,0.22,0.07,0.08*,2.30,1.35,0.89,0.02*,6.99,0.47,6.52,1.14,0.38,0.33,0.05,0.29,0.22,0.07,0.08*,0.38,0.91,0.14,0.43,0.35
"$75,000 and higher",20 and over,24.10,41.87,18.49,0.81,2007_08,0.53,0.79,0.11,1.68,0.48,0.40,0.08,0.41,0.33,0.09,0.17,1.62,0.83,0.71,0.07,6.52,0.79,5.73,1.68,0.48,0.40,0.08,0.41,0.33,0.09,0.17,0.62,1.09,0.24,0.53,0.32
"$75,000 and higher",20 and over,24.10,41.87,18.49,0.81,2007_08,0.53,0.79,0.11,1.68,0.48,0.40,0.08,0.41,0.33,0.09,0.17,1.62,0.83,0.71,0.07,6.52,0.79,5.73,1.68,0.48,0.40,0.08,0.41,0.33,0.09,0.17,0.62,0.97,0.18,0.49,0.30
"$75,000 and higher",2 and over,22.16,40.74,18.81,0.60,2007_08,0.48,0.69,0.09,1.47,0.44,0.37,0.07,0.37,0.29,0.08,0.14,1.78,0.99,0.71,0.06,6.44,0.72,5.72,1.47,0.44,0.37,0.07,0.37,0.29,0.08,0.14,0.52,1.12,0.24,0.55,0.34
